Diretor;Gerente;Assessor;Coordenador;Especialista;Líder;Analista;Técnico;Profissional;Operador;Assistente;Auxiliar;
Estratégico;Estratégico;Estratégico;Tático;Tático;Tático;Tático;Operacional;Operacional;Operacional;Operacional;Operacional;
Gestão;Gestão;Técnico;Gestão;Técnico;Técnico;Administrativo;Técnico;Técnico;Técnico;Administrativo;Administrativo;
Influenciar na concepção do planejamento estratégico, desdobrando metas estratégicas e assegurando os resultados globais da organização.;Desdobrar o planejamento estratégico definindo ações táticas com foco nos objetivos.;Promover melhorias e soluções em processos críticos, considerando as necessidades mapeadas no  planejamento estratégico.;Garantir a operacionalização e qualificação dos processos em sua área de responsabilidade.;Orientar tecnicamente pessoas, liderando projetos e processos em sua área de atuação.;Responder pela operacionalização e melhoria dos processos em sua área de responsabilidade.;Sugerir melhorias e responder tecnicamente pelos processos e ferramentas da sua área de atuação.; ;Executar atividades específicas de cunho técnico na sua área de atuação, realizando análises, controles e pareceres técnicos.; ;Executar atividades que requisitem o domínio de técnicas, seguindo os procedimentos operacionais da sua área de atuação.;Executar atividades rotineiras na sua área de atuação, conforme orientação ou procedimento operacional.;
Identificar oportunidades de mercado e tecnológicas para a evolução dos negócios e da gestão.;Responder pelos resultados de sua área de atuação, através da gestão de recursos.;Responder pelos resultados de sua área de atuação, através da gestão de recursos.;Liderar e desenvolver sua equipe para entrega de objetivos e metas.;Identificar tendências de mercado e tecnológicas para a evolução dos processos e fornecer subsídios para a tomada de decisão.;Apoiar na gestão de equipes, atuando de forma compartilhada.;Gerar e analisar informações gerenciais, fornecendo pareceres técnicos subsidiando a tomada de decisão.; ;Atuar na implementação e manutenção dos processos relacionados a sua área de atuação, propondo inovações e melhorias.; ;Sugerir melhorias e atuar na manutenção de processos relacionados a sua área de atuação.;Auxiliar na manutenção de processos relacionados a sua área de atuação.;
Garantir que os processos estejam alinhados aos princípios da Governança.;Identificar oportunidades de mercado e tecnológicas para a evolução dos negócios e da gestão.;Identificar oportunidades de mercado e tecnológicas para a evolução dos negócios e da gestão.;Ser exemplo e guardião da Cultura organizacional.; ; ; ; ; ; ; ; ;
Representar os interesses da organização construindo relacionamentos com o mercado e stakeholders.  ;Gerenciar sua equipe de acordo com a cultura, valores e diretrizes da organização, promovendo o seu desenvolvimento.;Ser referência técnica influenciando pessoas, processos e projetos em sua responsabilidade.;Atuar e responder por projetos pertinentes à sua área de atuação.; ; ; ; ; ; ; ; ;
Inspirar pessoas liderando pelo exemplo.; ; ; ; ; ; ; ; ; ; ; ;
Ser guardião dos valores e da cultura organizacional.; ; ; ; ; ; ; ; ; ; ; ;
CONFORTO COM AMBIGUIDADE:Capacidade de situar-se em um ambiente paradoxo e mutável, imprevisível e ambíguo, identificando e dimensionando suas características, riscos e desafios. ;VISÃO SISTÊMICA:Capacidade para entender a sua contribuição e a relação de sua área nas diversas atividades da Empresa, bem como o impacto da interdependência destas áreas no negócio.;VISÃO SISTÊMICA:Capacidade para entender a sua contribuição e a relação de sua área nas diversas atividades da Empresa, bem como o impacto da interdependência destas áreas no negócio.;FOLLOW-UP / CONTROLE:Capacidade de garantir que todas partes interessadas se mantenham informadas do andamento das suas responsabilidades / assuntos.;VISÃO SISTÊMICA:Capacidade para entender a sua contribuição e a relação de sua área nas diversas atividades da Empresa, bem como o impacto da interdependência destas áreas no negócio.;CAPACIDADE DE REALIZAÇÃO:Capacidade de tornar realidade orientações / responsabilidades, fazendo-as de maneira certa, correta e precisa, de forma a alcançar os resultados desejados.;CAPACIDADE ANALÍTICA:Capacidade de analisar situações e informações, discriminando e interpretando os fatores de maneira imparcial, realizando avaliação crítica e conclusiva, apontando direcionamentos para subsidiar as tomadas de decisões.; ;CAPACIDADE DE REALIZAÇÃO:Capacidade de tornar realidade orientações / responsabilidades, fazendo-as de maneira certa, correta e precisa, de forma a alcançar os resultados desejados.; ;CAPACIDADE DE REALIZAÇÃO:Capacidade de tornar realidade orientações / responsabilidades, fazendo-as de maneira certa, correta e precisa, de forma a alcançar os resultados desejados.;FIRMEZA / EXATIDÃO / ASSERTIVIDADE:Capacidade de agir com determinação e segurança, prestando serviços e informações com precisão e certeza. ;
SENSIBILIDADE CULTURAL:Capacidade de estar atento e sensível à existência e ao impacto das diferenças de cultura nas relações entre as pessoas.;LIDERANÇA INSPIRADORA:Capacidade de inspirar as pessoas a agir. Capacidade de conquistá-las por inteiro, através de uma atuação orientada pelo exemplo, aconselhamento e mentoria.;INFLUÊNCIA ESTRATÉGICA:Capacidade de interagir com os diversos setores da empresa, articular, apoiar, influenciar e negociar para dar sustentação a projetos, políticas e processos.;ADMINISTRAÇÃO DE CONFLITOS:Capacidade de enfrentar e resolver as situações de conflito, analisando as variáveis envolvidas e suas possíveis causas, buscando o consenso e a resolução dos impasses ocorridos.;PLANEJAMENTO:Capacidade de elaborar e executar planos, definindo metodologias e recursos, distribuindo prazos e tarefas e estabelecendo prioridades, metas e indicadores. Acompanhar a execução das etapas, propondo redirecionamentos e avaliando resultados de acordo com os cenários.;ORGANIZAÇÃO:Capacidade de organizar e sistematizar seu próprio trabalho, identificando métodos que assegurem a continuidade do processo e zelando pelos instrumentos, documentos, ferramentas e informações .;CAPACIDADE DE REALIZAÇÃO:Capacidade de tornar realidade orientações / responsabilidades, fazendo-as de maneira certa, correta e precisa, de forma a alcançar os resultados desejados.; ;ORGANIZAÇÃO:Capacidade de organizar e sistematizar seu próprio trabalho, identificando métodos que assegurem a continuidade do processo e zelando pelos instrumentos, documentos, ferramentas e informações .; ;ORGANIZAÇÃO:Capacidade de organizar e sistematizar seu próprio trabalho, identificando métodos que assegurem a continuidade do processo e zelando pelos instrumentos, documentos, ferramentas e informações .;INICIATIVA / PRÓ-ATIVIDADE:Capacidade de antecipar-se às situações, às necessidades e aos problemas, tomando ações preventivas, sendo responsável pelas suas ações e decisões tomadas.;
LIDERANÇA INSPIRADORA:Capacidade de inspirar as pessoas a agir. Capacidade de conquistá-las por inteiro, através de uma atuação orientada pelo exemplo, aconselhamento e mentoria.;FLEXIBILIDADE / ADAPTABILIDADE:Capacidade para aceitar, trabalhar e adaptar-se com facilidade e de forma eficaz a novas e variadas situações, propostas e sugestões. Facilidade ainda de aceitar e lidar com mudanças, responsabilidades, indivíduos e grupos.;AGENTE DE MUDANÇA:Capacidade de informar, dialogar, comunicar os benefícios das mudanças, incentivar o desenvolvimento de grupos e aprimorar a qualificação para atuar no novo cenário, tomando decisões e assumindo os riscos do negócio.;LIDERANÇA DE PESSOAS:Capacidade de gerar resultados através das pessoas, fornecendo direcionamentos, cobrando resultados, conseguindo comprometê-las com os objetivos e metas da sua área e da Empresa. Promover o desenvolvimento da equipe, atuando como um incentivador, orientando e apoiando-os na capacitação técnica e no desenvolvimento comportamental.;AGENTE DE MUDANÇA:Capacidade de informar, dialogar, comunicar os benefícios das mudanças, incentivar o desenvolvimento de grupos e aprimorar a qualificação para atuar no novo cenário, tomando decisões e assumindo os riscos do negócio.;COMUNICAÇÃO:Capacidade de transmitir ideias de forma clara, consistente, objetiva e estruturada, por escrito ou verbalmente, para grupos e indivíduos, respeitando a realidade do receptor e certificando-se do entendimento da mensagem.;CRIATIVIDADE / INOVAÇÃO:Capacidade de gerar ideias úteis e aplicáveis, inovando ou otimizando soluções, de forma a agilizar ou criar alternativas para aprimorar/desenvolver produtos, processos ou serviços, ultrapassando os limites do usual e corriqueiro.; ;ESPÍRITO DE EQUIPE:Capacidade de disponibilizar e compartilhar informações e responsabilidades com outras pessoas, visando ao alcance de objetivos comuns e de metas organizacionais. ; ;ESPÍRITO DE EQUIPE:Capacidade de disponibilizar e compartilhar informações e responsabilidades com outras pessoas, visando ao alcance de objetivos comuns e de metas organizacionais. ;ORGANIZAÇÃO:Capacidade de organizar e sistematizar seu próprio trabalho, identificando métodos que assegurem a continuidade do processo e zelando pelos instrumentos, documentos, ferramentas e informações .;
PENSAMENTO ESTRATÉGICO:Capacidade de visualizar os cenários e o ambiente em que a Empresa está inserida, percebendo tendências e oportunidades que possam impactar no negócio, realizando projeções e direcionando esforços em busca da maximização dos resultados.;PENSAMENTO ESTRATÉGICO:Capacidade de visualizar os cenários e o ambiente em que a Empresa está inserida, percebendo tendências e oportunidades que possam impactar no negócio, realizando projeções e direcionando esforços em busca da maximização dos resultados.;VISÃO DE NEGÓCIO:Capacidade de ter uma visão geral do negócio, entendendo a estrutura de metas e também os problemas que precisam ser solucionados para atingir tais metas.;RESOLUÇÃO DE PROBLEMAS:Sentir-se apto no uso de métodos, de uma forma ordenada, para encontrar soluções de problemas específicos.;MULTIPLICADOR / EDUCADOR:Capacidade de transmitir e compartilhar idéias, conhecimentos e informações, de forma clara e compreensível, orientando e desenvolvendo pessoas, possibilitando o entendimento através do processo de educação e aprendizagem.;FIRMEZA / EXATIDÃO / ASSERTIVIDADE:Capacidade de agir com determinação e segurança, prestando serviços e informações com precisão e certeza. ;COMUNICAÇÃO:Capacidade de transmitir ideias de forma clara, consistente, objetiva e estruturada, por escrito ou verbalmente, para grupos e indivíduos, respeitando a realidade do receptor e certificando-se do entendimento da mensagem.; ;COMUNICAÇÃO:Capacidade de transmitir ideias de forma clara, consistente, objetiva e estruturada, por escrito ou verbalmente, para grupos e indivíduos, respeitando a realidade do receptor e certificando-se do entendimento da mensagem.; ;COMUNICAÇÃO:Capacidade de transmitir ideias de forma clara, consistente, objetiva e estruturada, por escrito ou verbalmente, para grupos e indivíduos, respeitando a realidade do receptor e certificando-se do entendimento da mensagem.;ESPÍRITO DE EQUIPE:Capacidade de disponibilizar e compartilhar informações e responsabilidades com outras pessoas, visando ao alcance de objetivos comuns e de metas organizacionais. ;
ORIENTAÇÃO PARA RESULTADOS:Capacidade de comprometer-se na realização de resultados positivos em termos de rentabilidade, produtividade, qualidade e outros aspectos relevantes a sua atividade, adaptando-se rapidamente às mudanças de qualquer natureza em seu ambiente de trabalho. Capacidade de saber onde quer chegar, ter objetivos e prioridades. ;ORIENTAÇÃO PARA RESULTADOS:Capacidade de comprometer-se na realização de resultados positivos em termos de rentabilidade, produtividade, qualidade e outros aspectos relevantes a sua atividade, adaptando-se rapidamente às mudanças de qualquer natureza em seu ambiente de trabalho. Capacidade de saber onde quer chegar, ter objetivos e prioridades. ;ORIENTAÇÃO PARA RESULTADOS:Capacidade de comprometer-se na realização de resultados positivos em termos de rentabilidade, produtividade, qualidade e outros aspectos relevantes a sua atividade, adaptando-se rapidamente às mudanças de qualquer natureza em seu ambiente de trabalho. Capacidade de saber onde quer chegar, ter objetivos e prioridades. ;FOCO EM MELHORIA CONTÍNUA:Capacidade de se antecipar à situações recorrentes de problemas, identificando problemas, sugerindo e implementando melhorias nos processos e atividades, a fim de melhorar os resultados e aumentar a satisfação dos clientes, tanto internos quanto externos.;FOCO EM MELHORIA CONTÍNUA:Capacidade de se antecipar à situações recorrentes de problemas, identificando problemas, sugerindo e implementando melhorias nos processos e atividades, a fim de melhorar os resultados e aumentar a satisfação dos clientes, tanto internos quanto externos.;LIDERANÇA DE PESSOAS:Capacidade de gerar resultados através das pessoas, fornecendo direcionamentos, cobrando resultados, conseguindo comprometê-las com os objetivos e metas da sua área e da Empresa. Promover o desenvolvimento da equipe, atuando como um incentivador, orientando e apoiando-os na capacitação técnica e no desenvolvimento comportamental.;FOCO EM MELHORIA CONTÍNUA:Capacidade de se antecipar à situações recorrentes de problemas, identificando problemas, sugerindo e implementando melhorias nos processos e atividades, a fim de melhorar os resultados e aumentar a satisfação dos clientes, tanto internos quanto externos.; ;FIRMEZA / EXATIDÃO / ASSERTIVIDADE:Capacidade de agir com determinação e segurança, prestando serviços e informações com precisão e certeza. ; ;FIRMEZA / EXATIDÃO / ASSERTIVIDADE:Capacidade de agir com determinação e segurança, prestando serviços e informações com precisão e certeza. ;CORDIALIDADE:Capacidade de ser gentil e simpático com as pessoas, de forma a garantir a eficácia e os bons resultados destes relacionamentos.;
Pós Graduação Completo;Pós Graduação Completo;Pós Graduação Completo;Ensino Superior Completo;Ensino Superior Completo;Técnico Completo;Ensino Superior Completo; ;Ensino Médio Completo; ;Técnico Completo;Ensino Médio Incompleto;
Pós Graduação Completo;Pós Graduação Completo;Pós Graduação Completo;Pós Graduação Completo;Pós Graduação Completo;Ensino Superior Incompleto;Pós Graduação Completo; ; ; ;Ensino Superior Incompleto;Ensino Médio Completo;
